run_id,commit_sha,partition,scene_id,fault_id,fault_family,method,seed,expected_rules,observed_rules,true_positive,false_positive,false_negative,detected,valid_repair,incorrect_repair,escalated,validation_ms,repair_ms
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_up_axis,spatial,ablation-no-task-validator,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.046057,0.249307
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_up_axis,spatial,ablation-fixed-repair-order,0,CSR-SCN-001,CSR-SCN-001,1,0,0,1,1,0,0,0.051604,0.252312
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_units,spatial,direct-conversion,0,CSR-SCN-002,,0,0,1,0,0,0,0,0.001118,0.0
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_units,spatial,fixed-rule-repair,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.057652,0.269622
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_units,spatial,ablation-no-provenance,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.038515,0.238893
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_units,spatial,ablation-no-task-validator,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.048376,0.258447
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,wrong_units,spatial,ablation-fixed-repair-order,0,CSR-SCN-002,CSR-SCN-002,1,0,0,1,1,0,0,0.051393,0.25767
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_ifc_guid,identity,direct-conversion,0,CSR-SCN-003,,0,0,1,0,0,0,0,0.001145,0.0
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_ifc_guid,identity,fixed-rule-repair,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.051485,0.265931
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_ifc_guid,identity,ablation-no-provenance,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.040862,0.234177
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_ifc_guid,identity,ablation-no-task-validator,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.051029,0.264691
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_ifc_guid,identity,ablation-fixed-repair-order,0,CSR-SCN-003,CSR-SCN-003,1,0,0,1,1,0,0,0.051756,0.261206
B-CPU-DETREp-0001,fb93389,development,sequential_assembly,missing_workzone_payload,composition,direct-conversion,0,CSR-SCN-005|CSR-SCN-029,,0,0,2,0,0,0,0,0.001085,0.0
